肌肉无力,额外,3060000|39800000|75100
比如,盲肠炎,192000000|249000|17600
元宝草,王不留行,747000|2550000|18900
铁锈色痰,咳痰,146000|632000|5910
继发性肥胖,肥胖症,567000|2520000|32000
眼眶疼痛,眼眶痛,399000|82200|25200
呼吸不规则,呼吸不畅,1200000|1340000|44800
动脉粥样硬化,动脉粥样硬化斑块,932000|1270000|94200
肾小球肾炎,肾炎,499000|6480000|43600
乳腺肥大,乳腺囊肿,423000|581000|92000
风浪,疥疮,4210000|1590000|1880
瘊子,常务,543000|30200000|2410
胃酸缺乏,胃酸,320000|7310000|32000
急性乳腺炎,产褥期乳腺炎,1060000|230000|13600
个人,过敏性紫癜性肾炎,1170000000|543000|609000
色素痣,痣细胞痣,2730000|487000|96700
烦乱,肺底,700000|185000|322
甲状腺肿,独活,1510000|1230000|10100
封套,脾亢,2250000|475000|195
日落黄,橘黄,471000|624000|2590
节段性分离性感觉障碍,猝死型冠心病,224000|335000|168000
高耸,手抖,5810000|2860000|48200
心内膜弹力纤维增生,脊髓病变,215000|575000|591000
合萌,田皂角,1110000|3450|19900
妄想阵发,干政,581000|772000|3470
剧烈头痛,头痛,636000|38500000|44600
色素,色阶,34200000|1870000|19000
无力,葱葱,47900000|1230000|55400
呼吸异常,呼吸困难,11200000|4860000|150000
腹泻,拉肚子,23100000|12600000|61500
神经肌肉症状,厌食症,2650000|3120000|22400
慢性乙型肝炎,持续性咳嗽,520000|739000|119000
断然,淋巴结肿大,31400000|449000|1070
广泛性骨质疏松,骨质疏松,544000|571000|51300
称引,月经提前,11800000|4170000|48900
大动脉炎,主动脉弓综合征,433000|414000|1720
纵隔阴影,唱反调,78600|1490000|27
急性贫血,贫血,524000|18900000|52400
失血,方兴未艾,5960000|1660000|6050
法术,下肢淋巴水肿,11700000|248000|449
风鸟,呼吸困难,24000000|4860000|251000
屈光不正性弱视,弱视,324000|2460000|56400
充血,结膜充血,11800000|2040000|69700
脑梗塞,冰山,2150000|60800000|12300
肝脏恶性血管瘤,肝血管肉瘤,533000|249000|21700
黏液性水肿,面部水肿,500000|619000|44500
良性前列腺增生症,前列腺肥大,465000|1530000|24300
亚急性皮肤红斑狼疮,环状红斑,628000|236000|8310
急性贫血,阻塞性黄疸,524000|592000|166000
静脉血栓,静脉血栓形成,1360000|1430000|81200
暗流,感觉障碍,3290000|822000|81000
胃排空延缓,氯沙坦,346000|625000|5760
希恩综合征,席汉综合征,276000|421000|10800
腱鞘炎,得胜,4130000|7960000|2720
内出血,颅内出血,4880000|1450000|62900
睾酮,睾丸素,1280000|2960000|19200
元气虚弱,乏力,520000|15600000|26100
锭子,紫癜,215000|4060000|360
排尿障碍,椿象,430000|344000|44
独占鳌头,白细胞减少,1560000|464000|628
外膜,外壁,3200000|29800000|16100
底座,睡眠呼吸暂停综合征,21500000|2430000|1350
铁锈色痰,右束支传导阻滞,146000|239000|139000
肾脏缩小,肾萎缩,491000|545000|294000
大彻大悟,耳聋,1090000|5590000|5340
咽喉溃疡,复发性口疮,489000|719000|56000
肝昏迷,晕厥,4110000|3210000|17100
